"Alabama A & M University" "University of Alabama at Birmingham"
"Alabama A & M University" "Faulkner University"
"Alabama A & M University" "Lawson State Community College-Birmingham Campus"
"Alabama A & M University" "Samford University"
"Alabama A & M University" "Regency Beauty Institute-Hoover"
"James H Faulkner State Community College" "Faulkner University"
"James H Faulkner State Community College" "Lawson State Community College-Birmingham Campus"
"James H Faulkner State Community College" "Samford University"
"James H Faulkner State Community College" "Regency Beauty Institute-Hoover"
"Judson College" "Lawson State Community College-Birmingham Campus"
"Judson College" "Samford University"
"Judson College" "Regency Beauty Institute-Hoover"
"Bishop State Community College" "Samford University"
"Bishop State Community College" "Regency Beauty Institute-Hoover"
"University of Alaska Anchorage" "Alaska Bible College"
"American Institute of Technology" "Carrington College-Phoenix"
"American Institute of Technology" "Cochise College"
"American Institute of Technology" "ITT Technical Institute-Tucson"
"American Institute of Technology" "Refrigeration School Inc"
"American Institute of Technology" "Chandler-Gilbert Community College"
"American Institute of Technology" "Arizona State University-Downtown Phoenix"
"American Institute of Technology" "Studio Academy of Beauty"
"American Institute of Technology" "Utah College of Massage Therapy-Tempe"
"American Institute of Technology" "Aveda Institute-Tucson"
"American Institute of Technology" "Arizona State University-Skysong"
"Charles of Italy Beauty College" "Cochise College"
"Charles of Italy Beauty College" "ITT Technical Institute-Tucson"
"Charles of Italy Beauty College" "Refrigeration School Inc"
"Charles of Italy Beauty College" "Chandler-Gilbert Community College"
"Charles of Italy Beauty College" "Arizona State University-Downtown Phoenix"
"Charles of Italy Beauty College" "Studio Academy of Beauty"
"Charles of Italy Beauty College" "Utah College of Massage Therapy-Tempe"
"Charles of Italy Beauty College" "Aveda Institute-Tucson"
"Charles of Italy Beauty College" "Arizona State University-Skysong"
"Mesa Community College" "ITT Technical Institute-Tucson"
"Mesa Community College" "Refrigeration School Inc"
"Mesa Community College" "Chandler-Gilbert Community College"
"Mesa Community College" "Arizona State University-Downtown Phoenix"
"Mesa Community College" "Studio Academy of Beauty"
"Mesa Community College" "Utah College of Massage Therapy-Tempe"
"Mesa Community College" "Aveda Institute-Tucson"
"Mesa Community College" "Arizona State University-Skysong"
"Prescott College" "Refrigeration School Inc"
"Prescott College" "Chandler-Gilbert Community College"
"Prescott College" "Arizona State University-Downtown Phoenix"
"Prescott College" "Studio Academy of Beauty"
"Prescott College" "Utah College of Massage Therapy-Tempe"
"Prescott College" "Aveda Institute-Tucson"
"Prescott College" "Arizona State University-Skysong"
"ABC Beauty College Inc" "Arkansas Baptist College"
"ABC Beauty College Inc" "University of Central Arkansas"
"ABC Beauty College Inc" "John Brown University"
"ABC Beauty College Inc" "University of Arkansas Community College-Morrilton"
"ABC Beauty College Inc" "Velvatex College of Beauty Culture"
"ABC Beauty College Inc" "Washington Barber College Inc"
"ABC Beauty College Inc" "The Salon Professional Academy-North Little Rock"
"Black River Technical College" "University of Central Arkansas"
"Black River Technical College" "John Brown University"
"Black River Technical College" "University of Arkansas Community College-Morrilton"
"Black River Technical College" "Velvatex College of Beauty Culture"
"Black River Technical College" "Washington Barber College Inc"
"Black River Technical College" "The Salon Professional Academy-North Little Rock"
"Jefferson Regional Medical Center School of Nursing" "John Brown University"
"Jefferson Regional Medical Center School of Nursing" "University of Arkansas Community College-Morrilton"
"Jefferson Regional Medical Center School of Nursing" "Velvatex College of Beauty Culture"
"Jefferson Regional Medical Center School of Nursing" "Washington Barber College Inc"
"Jefferson Regional Medical Center School of Nursing" "The Salon Professional Academy-North Little Rock"
"University of the Ozarks" "University of Arkansas Community College-Morrilton"
"University of the Ozarks" "Velvatex College of Beauty Culture"
"University of the Ozarks" "Washington Barber College Inc"
"University of the Ozarks" "The Salon Professional Academy-North Little Rock"
"Southern Arkansas University Tech" "Velvatex College of Beauty Culture"
"Southern Arkansas University Tech" "Washington Barber College Inc"
"Southern Arkansas University Tech" "The Salon Professional Academy-North Little Rock"
"American Conservatory Theater" "American River College"
"American Conservatory Theater" "Butte College"
"American Conservatory Theater" "California State University-Chico"
"American Conservatory Theater" "University of California-San Francisco"
"American Conservatory Theater" "Casa Loma College-Van Nuys"
"American Conservatory Theater" "San Diego Christian College"
"American Conservatory Theater" "Columbia College-Hollywood"
"American Conservatory Theater" "Dominican University of California"
"American Conservatory Theater" "Federico Beauty Institute"
"American Conservatory Theater" "Golden Gate University-San Francisco"
"American Conservatory Theater" "Humboldt State University"
